license_number,business_name,dba_name,dba_registration_city,establishment_address_1,establishment_address_2,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,county,county_lat,county_long,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,license_type,application_status,lic_status,approved_license_type,priority_applicant_type,cultivation_environment,cultivation_tier,establishment_activities,establishment_cultivation_environment,square_footage_establishment,APPLICATION_CREATED_DATE,CNB_DEEMED_COMPLETE_DATE,APPLICATION_APPROVED_DATE,CNB_DATE_OF_FINAL_LICENSURE-1,LIC_START_DATE,LIC_EXPIRATION_DATE,COMMENCE_OPERATIONS_DATE,CCCUpdateDate
MR282695,Community Growth Partners Great Barrington Operations LLC,rebelle,Great Barrington,783 South Main Street,,Great Barrington,MA,01230,42.179185,-73.362834,Berkshire,42.396128,-73.209889,783 South Main Street,,Great Barrington,MA,01230,POINT (-73.209889 42.396128),POINT (-73.362834 42.1791849),783 South Main Street,,Great Barrington,MA,01230,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,Economic Empowerment Priority,,,,,2965,5/8/2019,9/13/2019,11/7/2019,8/6/2020,1/20/2022,1/21/2023,9/2/2020,12/19/2022
MC282162,Community Growth Partners Northampton Operations LLC,rebelle,Northampton,20 Ladd Avenue,,Northampton,MA,01060,42.329604,-72.624917,Hampshire,42.322256,-72.62073,20 Ladd Avenue,,Northampton,MA,01060,POINT (-72.62073 42.322256),POINT (-72.624916 42.3296040),470 Atlantic Avenue,4th Floor,Boston,MA,02210,Marijuana Cultivator,APPROVED,COMPLETE,FINAL LICENSE,Economic Empowerment Priority,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,,28000,5/21/2019,9/13/2019,11/7/2019,11/10/2022,11/10/2022,11/27/2023,,12/19/2022
MP281677,Community Growth Partners Northampton Operations LLC,rebelle,Northampton,20 Ladd Avenue,,Northampton,MA,01060,42.329604,-72.624917,Hampshire,42.322256,-72.62073,20 Ladd Avenue,,Northampton,MA,01060,POINT (-72.62073 42.322256),POINT (-72.624916 42.3296040),470 Atlantic Avenue,4th Floor,Boston,MA,02210,Marijuana Product Manufacturer,APPROVED,COMPLETE,FINAL LICENSE,Economic Empowerment Priority,,,,,28000,5/24/2019,9/13/2019,11/7/2019,6/9/2022,12/8/2022,12/21/2023,9/1/2022,12/19/2022
MR284186,"Cypress Tree Management Fenway, Inc.",,,1112-1116 Boylston Street,,Boston,MA,02215,42.346807,-71.088711,Suffolk,42.334948,-71.073493,419 Boylston Street,300,Boston,MA,02116,POINT (-71.073493 42.334948),POINT (-71.088711 42.3468069),419 Boylston Street,300,Boston,MA,02116,Marijuana Retailer,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,,,,,7800,3/23/2021,4/30/2021,6/22/2021,,7/14/2022,7/27/2023,,12/19/2022
MR283773,"Cypress Tree Management Natick, Inc.",Redi,Natick,321 Speen Street,,Natick,MA,01760,42.303941,-71.379502,Middlesex,42.459085,-71.275566,419 BOYLSTON STREET,300,Boston,MA,02116,POINT (-71.275566 42.459085),POINT (-71.379502 42.3039410),419 BOYLSTON STREET,300,Boston,MA,02116,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,,,5000,9/10/2020,5/7/2021,8/12/2021,12/8/2022,2/24/2022,2/24/2023,,12/19/2022
MR282803,"Cypress Tree Management, Inc.",,,24-26 Elliot Street,,Newton,MA,02461,42.317897,-71.212681,Middlesex,42.459085,-71.275566,419 Boylston Street,Suite 300,Boston,MA,02116,POINT (-71.275566 42.459085),POINT (-71.212681 42.3178970),419 Boylston Street,Suite 300,Boston,MA,02116,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,,,8100,6/21/2019,3/5/2020,5/8/2020,6/17/2021,5/12/2022,6/9/2023,7/2/2021,12/19/2022
MR281981,"DDM Sales, Inc.",DDM CANNABIS,Blackstone,1 Lloyd Street,,Blackstone,MA,01504,42.019354,-71.499499,Worcester,42.329642,-71.840209,220 Pulaski Boulevard,,Bellingham,MA,02019,POINT (-71.840209 42.329642),POINT (-71.499499 42.019354),220 Pulaski Boulevard,,Bellingham,MA,02019,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,,,4000,10/20/2018,5/20/2020,7/9/2020,1/14/2021,6/9/2022,7/20/2023,2/1/2021,12/19/2022
MR282590,"DMS Trinity, LLC",Trinity Naturals,Chelsea,260 Second Street,,Chelsea,MA,02150,42.396161,-71.046574,Suffolk,42.334948,-71.073493,38 Gould Street,,Stoneham,MA,02180,POINT (-71.073493 42.334948),POINT (-71.046574 42.3961609),38 Gould Street,,Stoneham,MA,02180,Marijuana Retailer,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,,,,,3000,4/9/2019,5/27/2022,8/11/2022,,8/22/2022,8/22/2023,,12/19/2022
MR281383,Elev8 Cannabis Inc.,,Orange,14 South Main Street,,Orange,MA,01364,42.590338,-72.309861,Franklin,42.587072,-72.573941,243 Main Street,,Athol,MA,01331,POINT (-72.573941 42.587072),POINT (-72.309860 42.5903380),243 Main Street,,Athol,MA,01331,Marijuana Retailer,APPROVED,PAYMENT_PENDING,PROVISIONAL CONSIDERATION,General Applicant,,,,,815,5/3/2018,11/27/2019,1/16/2020,,,,,12/19/2022
MR282630,Elev8 Cannabis Inc.,,,217 Main Street,,Williamstown,MA,01267,42.701397,-73.184326,Berkshire,42.396128,-73.209889,243 Main Street,,Athol,MA,01331,POINT (-73.209889 42.396128),POINT (-73.184325 42.701397),243 Main Street,,Athol,MA,01331,Marijuana Retailer,APPROVED,PAYMENT_PENDING,PROVISIONAL CONSIDERATION,General Applicant,,,,,0,4/23/2019,11/27/2019,1/16/2020,,,,,12/19/2022
MR281810,Elev8 Cannabis Inc.,N/A,Athol,243 Main Street,,Athol,MA,01331,42.59344,-72.234359,Worcester,42.329642,-71.840209,217 main st,,williamstown,MA,01267,POINT (-71.840209 42.329642),POINT (-72.234358 42.5934400),1409 oak st,,eugene,OR,97401,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,,,1200,8/16/2018,11/27/2019,1/16/2020,9/10/2020,4/7/2022,4/10/2023,10/7/2020,12/19/2022
MR284547,Elevated Roots II LLC,,,319 Monponsett Street,,Halifax,MA,02338,41.996777,-70.84409,Plymouth,41.978877,-70.818958,319 Monponsett Street,,Halifax,MA,02338,POINT (-70.818958 41.978877),POINT (-70.844089 41.9967770),319 Monponsett Street,,Halifax,MA,02338,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,,,3600,12/28/2021,3/11/2022,5/12/2022,10/13/2022,7/28/2022,7/28/2023,11/17/2022,12/19/2022
MR283092,"Elevated Roots, LLC",,,44 William C. Gould Jr. Way,,Kingston,MA,02364,41.973482,-70.707825,Plymouth,41.978877,-70.818958,44 William C. Gould Jr. Way,,Kingston,MA,02364,POINT (-70.818958 41.978877),POINT (-70.707825 41.9734819),44 William C. Gould Jr. Way,,Kingston,MA,02364,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,,,4050,10/30/2019,4/15/2020,6/4/2020,3/11/2021,6/9/2022,6/23/2023,3/24/2021,12/19/2022
MR284535,EVG FARMS LLC,Firehouse,Boston,883 Hyde Park Ave,,Boston,MA,02136,42.269648,-71.121054,Suffolk,42.334948,-71.073493,883 HYDE PARK AVE,,HYDE PARK,MA,02136,POINT (-71.073493 42.334948),POINT (-71.121054 42.2696479),31 ALDRICH ST,,ROSLINDALE,MA,02131,Marijuana Retailer,APPROVED,COMPLETE,PROVISIONAL LICENSE,Economic Empowerment Priority,,,,,2356,12/6/2021,5/6/2022,6/9/2022,,6/16/2022,6/16/2023,,12/19/2022
MB282029,FCC Holdings LLC,Florence Cannabis Company,Northampton,131 Texas Rd.,,Northampton,MA,01060,42.310554,-72.640928,Hampshire,42.322256,-72.62073,131 Texas Rd,,Northampton,MA,01060,POINT (-72.62073 42.322256),POINT (-72.640928 42.3105540),228 Cardinal way,,Northampton,MA,01062,Marijuana Microbusiness,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,Cultivating,Indoor,2100,7/23/2020,2/22/2021,4/16/2021,5/12/2022,5/12/2022,5/13/2023,9/13/2022,12/19/2022
MR281989,Green Biz LLC,,,177 Main St,,Northampton,MA,01060,42.318439,-72.631822,Hampshire,42.322256,-72.62073,45 Bodwell St,,Avon,MA,02322,POINT (-72.62073 42.322256),POINT (-72.631822 42.3184389),34 Bridge St,,Northampton,MA,01060,Marijuana Retailer,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,,,,,2000,10/23/2018,6/11/2020,10/8/2020,,10/13/2022,11/20/2023,,12/19/2022
MR281793,Green Biz LLC,Jack's Cannabis Company,Northampton,34 Bridge St,,Northampton,MA,01060,42.321674,-72.628145,Hampshire,42.322256,-72.62073,34 Bridge St,,Northampton,MA,01060,POINT (-72.62073 42.322256),POINT (-72.628145 42.3216740),45 Bodwell St,,Avon,MA,02322,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,,,1700,8/11/2018,2/7/2019,3/7/2019,2/6/2020,3/10/2022,3/29/2023,5/29/2020,12/19/2022
MR281490,Green Biz LLC,Jack's Cannabis Company,Pittsfield,1021 South St,,Pittsfield,MA,01201,42.409004,-73.262936,Berkshire,42.396128,-73.209889,45 Bodwell St,,Avon,MA,02322,POINT (-73.209889 42.396128),POINT (-73.262935 42.4090040),45 Bodwell St,,Avon,MA,02322,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,,,2000,5/28/2018,9/24/2018,11/1/2018,8/6/2020,12/8/2022,12/25/2023,10/7/2020,12/19/2022
MR282001,Green Era LLC,,,143-145 Water St,,Fitchburg,MA,01420,42.579221,-71.794891,Worcester,42.329642,-71.840209,143-145 Water St,,Fitchburg,MA,01420,POINT (-71.840209 42.329642),POINT (-71.794891 42.5792209),45 Bodwell St,,Avon,MA,02322,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,,,3500,10/29/2018,5/22/2020,10/8/2020,9/15/2022,11/10/2022,12/2/2023,12/14/2022,12/19/2022
MR282211,Green Era LLC,,,371 John Fitch Hwy,,Fitchburg,MA,01420,42.580815,-71.775503,Worcester,42.329642,-71.840209,371 John Fitch Hwy,,Fitchburg,MA,01420,POINT (-71.840209 42.329642),POINT (-71.775503 42.5808150),45 Bodwell St,,Avon,MA,02322,Marijuana Retailer,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,,,,,2900,12/20/2018,5/22/2020,10/8/2020,,11/10/2022,12/2/2023,,12/19/2022
MR282902,Green Era LLC,,,25 Cape Rd,,Mendon,MA,01756,42.098649,-71.503792,Worcester,42.329642,-71.840209,25 Cape Rd,,Mendon,MA,01756,POINT (-71.840209 42.329642),POINT (-71.503792 42.0986490),45 Bodwell St,,Avon,MA,02322,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,,,2000,7/30/2019,5/22/2020,10/8/2020,3/10/2022,11/10/2022,12/2/2023,4/26/2022,12/19/2022
MP281848,"Green Theory Cultivation, LLC",Aruna,Lee,845 Pleasant Street,,Lee,MA,01238,42.278658,-73.257086,Berkshire,42.396128,-73.209889,845 Pleasant St,,Lee,MA,01238,POINT (-73.209889 42.396128),POINT (-73.257086 42.278658),41 Pine Ridge Rd,,Eastman,GA,31023,Marijuana Product Manufacturer,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,,,18000,2/26/2020,5/27/2020,8/6/2020,4/7/2022,8/11/2022,8/14/2023,10/3/2022,12/19/2022
MC282665,"Green Theory Cultivation, LLC",Aruna,Lee,845 Pleasant Street,,Lee,MA,01238,42.278658,-73.257086,Berkshire,42.396128,-73.209889,845 Pleasant Street,,Lee,MA,01238,POINT (-73.209889 42.396128),POINT (-73.257086 42.278658),41 Pine Ridge Road,,Eastman,GA,31023,Marijuana Cultivator,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,18000,2/26/2020,5/21/2020,8/6/2020,4/7/2022,8/11/2022,8/14/2023,10/3/2022,12/19/2022
MP282184,"Greenway Cultivation, LLC",,,70 West River Street,,Orange,MA,01364,42.589389,-72.312758,Franklin,42.587072,-72.573941,70 West River Street,,Orange,MA,01364,POINT (-72.573941 42.587072),POINT (-72.312758 42.5893889),70 West River Street,,Orange,MA,01364,Marijuana Product Manufacturer,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,,,,,38000,3/10/2022,5/6/2022,6/14/2022,,6/20/2022,6/20/2023,,12/19/2022
MC283708,"Greenway Cultivation, LLC",,,70 West River Street,,Orange,MA,01364,42.589389,-72.312758,Franklin,42.587072,-72.573941,70 West River Street,,Orange,MA,01364,POINT (-72.573941 42.587072),POINT (-72.312758 42.5893889),70 West River Street,,Orange,MA,01364,Marijuana Cultivator,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,Indoor,"Tier 04: 20,001 to 30,000 sq. ft",,,38000,3/10/2022,5/6/2022,6/9/2022,,6/20/2022,6/20/2023,,12/19/2022
MP282022,H&H Cultivation LLC,Terra Vita Cannabis,,42-48 Main Street,,Holyoke,MA,01040,42.204968,-72.602076,Hampden,42.12756,-72.571312,42 Main Street,,Holyoke,MA,01040,POINT (-72.571312 42.12756),POINT (-72.602075 42.2049680),"662 Tremont Street, Apt. #1",,Boston,MA,01040,Marijuana Product Manufacturer,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,,,,,30000,1/31/2021,4/9/2021,6/22/2021,,4/19/2022,4/19/2023,,12/19/2022
MC283335,H&H Cultivation LLC,Terra Vita Cannabis,,42-48 Main Street,,Holyoke,MA,01040,42.204968,-72.602076,Hampden,42.12756,-72.571312,42 Main Street,,Holyoke,MA,01040,POINT (-72.571312 42.12756),POINT (-72.602075 42.2049680),"662 Tremont Street, Apt. #1",,Boston,MA,02118,Marijuana Cultivator,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,30000,1/31/2021,4/9/2021,6/22/2021,,8/11/2022,8/13/2023,,12/19/2022
MC282282,Hennep Cultivation LLC,,,160 Grove Street,,Franklin,MA,02038,42.070218,-71.42267,Norfolk,42.199156,-71.15444,160 Grove Street,,Franklin,MA,02038,POINT (-71.15444 42.199156),POINT (-71.422669 42.0702179),1330 Boylston St,Unit 202,Boston,MA,02215,Marijuana Cultivator,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,Indoor,"Tier 06: 40,001 to 50,000 sq. ft",,,60000,7/18/2019,3/27/2020,6/4/2020,,7/14/2022,7/15/2023,,12/19/2022
MP281766,Hennep Cultivation LLC,,,160 Grove Street,,Franklin,MA,02038,42.070218,-71.42267,Norfolk,42.199156,-71.15444,160 Grove Street,,Franklin,MA,02038,POINT (-71.15444 42.199156),POINT (-71.422669 42.0702179),1330 Boylston Street,Unit 202,Boston,MA,02215,Marijuana Product Manufacturer,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,,,,,60000,9/27/2019,3/27/2020,6/4/2020,,7/14/2022,7/15/2023,,12/19/2022
MR283126,Holistic Health Group Inc,Suncrafted,Middleborough,477 Wareham st,,Middleborough,MA,02346,41.841035,-70.839716,Plymouth,41.978877,-70.818958,477 Wareham Street,,Middleboro,MA,02346,POINT (-70.818958 41.978877),POINT (-70.839715 41.8410349),477 Wareham St,,Middleboro,MA,02346,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,RMD Priority,,,,,1500,11/15/2019,5/27/2022,8/11/2022,11/10/2022,8/16/2022,8/16/2023,11/29/2022,12/19/2022
MC282431,Holistic Health Group Inc,,,477 Wareham st,,Middleborough,MA,02344,41.760216,-70.694662,Plymouth,41.978877,-70.818958,202 Wood st,,Hopkinton,MA,01748,POINT (-70.818958 41.978877),POINT (-70.694661 41.760216),202 Wood st,,Hopkinton,MA,01748,Marijuana Cultivator,APPROVED,COMPLETE,PROVISIONAL LICENSE,RMD Priority,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,,34000,10/4/2019,3/19/2020,6/4/2020,,8/12/2021,8/16/2022,,12/19/2022
MC282488,Holistic Health Group Inc,,,477 Wareham st,,Middleborough,MA,02344,41.760216,-70.694662,Plymouth,41.978877,-70.818958,202 Wood st,,Hopkinton,MA,01748,POINT (-70.818958 41.978877),POINT (-70.694661 41.760216),202 Wood st,,Hopkinton,MA,01748,Marijuana Cultivator,APPROVED,COMPLETE,FINAL LICENSE,RMD Priority,Outdoor,"Tier 05: 30,001 to 40,000 sq. ft",,,11000,11/15/2019,3/19/2020,6/4/2020,8/6/2020,8/12/2021,8/16/2022,5/17/2021,12/19/2022
MP281796,Holistic Health Group Inc,,,477 Wareham Street,,Middleborough,MA,02346,41.841035,-70.839716,Plymouth,41.978877,-70.818958,477 Wareham st,,Middleboro,MA,02346,POINT (-70.818958 41.978877),POINT (-70.839715 41.8410349),477 Wareham st,,Middleboro,MA,02346,Marijuana Product Manufacturer,APPROVED,PAYMENT_PENDING,PROVISIONAL CONSIDERATION,RMD Priority,,,,,32000,11/18/2019,1/14/2022,3/10/2022,,,,,12/19/2022
MP281910,"Holyoke Green Growers, LLC.",,,60 Jackson St.,,Holyoke,MA,01040,42.19586,-72.614538,Hampden,42.12756,-72.571312,60 Jackson St.,,Holyoke,MA,01040,POINT (-72.571312 42.12756),POINT (-72.614537 42.1958600),275 sargent st,,holyoke,MA,01040,Marijuana Product Manufacturer,APPROVED,PAYMENT_PENDING,PROVISIONAL CONSIDERATION,Economic Empowerment Priority,,,,,33000,7/3/2020,12/3/2021,2/14/2022,,,,,12/19/2022
MR283170,"Holyoke Green Growers, LLC.",,,60 Jackson St.,,Holyoke,MA,01040,42.19586,-72.614538,Hampden,42.12756,-72.571312,60 Jackson St.,,HOLYOKE,MA,01040,POINT (-72.571312 42.12756),POINT (-72.614537 42.1958600),275 SARGEANT ST FL 2,,HOLYOKE,MA,01040,Marijuana Retailer,APPROVED,PAYMENT_PENDING,PROVISIONAL CONSIDERATION,Economic Empowerment Priority,,,,,33000,12/5/2019,12/3/2021,2/14/2022,,,,,12/19/2022
MC281629,"Holyoke Green Growers, LLC.",,,60 Jackson St.,,Holyoke,MA,01040,42.19586,-72.614538,Hampden,42.12756,-72.571312,60 Jackson St.,,Holyoke,MA,01040,POINT (-72.571312 42.12756),POINT (-72.614537 42.1958600),275 sargent st.,,Holyoke,MA,01040,Marijuana Cultivator,APPROVED,PAYMENT_PENDING,PROVISIONAL CONSIDERATION,Economic Empowerment Priority,Indoor,"Tier 04: 20,001 to 30,000 sq. ft",,,33000,7/25/2018,12/3/2021,2/14/2022,,,,,12/19/2022
MR283121,"HTC Trinity, LLC",,Taunton,354 Winthrop Street,,Taunton,MA,02780,41.886615,-71.129975,Bristol,41.778329,-71.102131,354 Winthrop Street,,Taunton,MA,02780,POINT (-71.102131 41.778329),POINT (-71.129975 41.8866149),38 Evergreen Drive,,Taunton,MA,02780,Marijuana Retailer,APPROVED,COMPLETE,PROVISIONAL LICENSE,Economic Empowerment Priority,,,,,5751,11/12/2019,5/21/2020,7/9/2020,,6/9/2022,6/10/2023,,12/19/2022
MP282157,"Hudson Botanical Processing, LLC",,,14 Kane Industrial Dr.,,Hudson,MA,01749,42.394426,-71.507162,Middlesex,42.459085,-71.275566,14 Kane Industrial Drive,,Hudson,MA,01749,POINT (-71.275566 42.459085),POINT (-71.507161 42.3944260),9 Kane Industrial Drive,Unit# 1,Hudson,MA,01749,Marijuana Product Manufacturer,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,,,,,5750,12/9/2021,8/24/2022,9/16/2022,,12/12/2022,12/12/2023,,12/19/2022
MP281588,"Hudson Botanical Processing, LLC",,,"9 Kane Industrial Dr., Unit 1",,Hudson,MA,01749,42.393969,-71.506311,Middlesex,42.459085,-71.275566,"9 Kane Industrial Dr, Unit 1",,Hudson,MA,01749,POINT (-71.275566 42.459085),POINT (-71.506310 42.3939689),5 Kane Industrial Dr.,,Hudson,MA,01749,Marijuana Product Manufacturer,APPROVED,COMPLETE,FINAL LICENSE,General Applicant,,,,,5000,1/29/2019,2/27/2020,4/9/2020,11/19/2020,3/10/2022,4/17/2023,12/9/2020,12/19/2022
MR283519,"JDM Sales, Inc.",,,103 Uxbridge Road,,Mendon,MA,01756,42.096492,-71.579495,Worcester,42.329642,-71.840209,220 Pulaski Boulevard,,Bellingham,MA,02019,POINT (-71.840209 42.329642),POINT (-71.579494 42.0964919),220 Pulaski Boulevard,,Bellingham,MA,02019,Marijuana Retailer,APPROVED,COMPLETE,PROVISIONAL LICENSE,General Applicant,,,,,3800,5/11/2020,11/5/2020,1/14/2021,,7/14/2022,7/27/2023,,12/19/2022
MR282937,"Legal Greens, LLC",,Brockton,73-75 Pleasant Street,,Brockton,MA,02301,42.085799,-71.022191,Plymouth,41.978877,-70.818958,73-75 Pleasant St,,Brockton,MA,02301,POINT (-70.818958 41.978877),POINT (-71.022191 42.0857990),"71 Legion Pkwy, suite 25",,Brockton,MA,02301,Marijuana Retailer,APPROVED,COMPLETE,FINAL LICENSE,Economic Empowerment Priority,,,,,2300,8/16/2019,12/18/2019,3/5/2020,3/11/2021,6/9/2022,6/19/2023,3/24/2021,12/19/2022
